             x=-,0.104, y=0.413, z,=0.960 m (x-r,i        Latitude,        Longitude,        H-Ell,      CorrTime,        Heading,          Pitch,           Roll,     VEast,    VNorth,       VUp
             x=-,0.104, y=0.413, z,=0.960 m (x-r,ight, y-fwd, z-up,)
,,,,,,,,
Body to Sensor R,otations:
,,,,,,,,,,,
             xRo,t=0.000, yRot=90.,000, zRot=180,.000 degrees (Rot,ate IMU into Vehi,cle Frame)
,,,,,,,

,,,,,,,,,,,,
        Latitude,        Longitude,        H-Ell,         Latitude,        Longitude,        H-Ell,      CorrTime,        Heading,          Pitch,           Roll,     VEast,    VNorth,       VUp
      (+/-D M S),       (+/-D M S),          (m),       (+/-D M S),       (+/-D M S),          (m),         (sec),          (deg),          (deg),          (deg),     (m/s),     (m/s),     (m/s)
  33 19 13.98150,  -97 33 12.46310,     3495.561,   33 19 13.98150,  -97 33 12.46310,     3495.561, 1271009662.00, -16.1014895532,   0.4494739311,  -0.0569348161,     0.789,    52.155,     0.131
  33 19 15.67256,  -97 33 12.43356,     3495.665,   33 19 15.67256,  -97 33 12.43356,     3495.665, 1271009663.00, -16.1266767779,   0.4148271733,  -0.4094413700,     0.724,    52.105,     0.074
  33 19 17.36186,  -97 33 12.40747,     3495.708,   33 19 17.36186,  -97 33 12.40747,     3495.708, 1271009664.00, -16.1267627216,   0.4872834160,   0.2823306831,     0.661,    52.049,     0.011
  33 19 19.05022,  -97 33 12.38149,     3495.720,   33 19 19.05022,  -97 33 12.38149,     3495.720, 1271009665.00, -16.0356280547,   0.4011850482,   0.4074302881,     0.683,    52.041,     0.008
  33 19 20.73818,  -97 33 12.35412,     3495.776,   33 19 20.73818,  -97 33 12.35412,     3495.776, 1271009666.00, -15.9267603440,   0.5633492929,   0.3323155212,     0.729,    52.017,     0.131
  33 19 22.42501,  -97 33 12.32535,     3496.005,   33 19 22.42501,  -97 33 12.32535,     3496.005, 1271009667.00, -15.8030415673,   0.5392392289,   0.3434480911,     0.770,    51.974,     0.274
  33 19 24.11074,  -97 33 12.29456,     3496.238,   33 19 24.11074,  -97 33 12.29456,     3496.238, 1271009668.00, -15.7598921158,   0.4953850392,  -0.0146619900,     0.804,    51.949,     0.208
  33 19 25.79506,  -97 33 12.26366,     3496.444,   33 19 25.79506,  -97 33 12.26366,     3496.444, 1271009669.00, -15.7919892115,   0.5071364036,  -0.4053962879,     0.781,    51.891,     0.236
  33 19 27.47751,  -97 33 12.23460,     3496.712,   33 19 27.47751,  -97 33 12.23460,     3496.712, 1271009670.00, -15.9904446030,   0.5354806258,  -0.5679043074,     0.713,    51.828,     0.306
  33 19 29.15764,  -97 33 12.20907,     3497.054,   33 19 29.15764,  -97 33 12.20907,     3497.054, 1271009671.00, -16.2251911412,   0.5571384304,  -0.1525442834,     0.625,    51.754,     0.358
  33 19 30.83537,  -97 33 12.18522,     3497.410,   33 19 30.83537,  -97 33 12.18522,     3497.410, 1271009672.00, -16.3659324940,   0.5065749050,   0.2395593837,     0.614,    51.679,     0.315
  33 19 32.51114,  -97 33 12.16106,     3497.719,   33 19 32.51114,  -97 33 12.16106,     3497.719, 1271009673.00, -16.3004548772,   0.4059520570,   0.3425829249,     0.634,    51.634,     0.269
  33 19 34.18611,  -97 33 12.13593,     3497.936,   33 19 34.18611,  -97 33 12.13593,     3497.936, 1271009674.00, -16.1950936682,   0.3485073085,   0.6848793708,     0.685,    51.633,     0.186
  33 19 35.86130,  -97 33 12.10737,     3498.113,   33 19 35.86130,  -97 33 12.10737,     3498.113, 1271009675.00, -16.2193355125,   0.3173727819,   0.6433972265,     0.788,    51.643,     0.172
  33 19 37.53696,  -97 33 12.07574,     3498.231,   33 19 37.53696,  -97 33 12.07574,     3498.231, 1271009676.00, -16.1740317397,   0.2763661925,   0.8369595584,     0.856,    51.670,     0.074
  33 19 39.21363,  -97 33 12.04049,     3498.266,   33 19 39.21363,  -97 33 12.04049,     3498.266, 1271009677.00, -16.1039131647,   0.1183157847,   0.9405331390,     0.958,    51.704,    -0.020
  33 19 40.89202,  -97 33 12.00109,     3498.200,   33 19 40.89202,  -97 33 12.00109,     3498.200, 1271009678.00, -15.8531066195,   0.0728286653,   1.2828181258,     1.089,    51.768,    -0.095
  33 19 42.57276,  -97 33 11.95468,     3498.061,   33 19 42.57276,  -97 33 11.95468,     3498.061, 1271009679.00, -15.7299436118,  -0.0531074580,   0.9779300943,     1.295,    51.850,    -0.189
  33 19 44.25585,  -97 33 11.90340,     3497.884,   33 19 44.25585,  -97 33 11.90340,     3497.884, 1271009680.00, -15.5379168068,  -0.1055502850,   0.2700350088,     1.331,    51.907,    -0.216
  33 19 45.94087,  -97 33 11.85120,     3497.648,   33 19 45.94087,  -97 33 11.85120,     3497.648, 1271009681.00, -15.3677827191,  -0.0347613494,   0.6312447916,     1.390,    51.974,    -0.229
  33 19 47.62822,  -97 33 11.79571,     3497.394,   33 19 47.62822,  -97 33 11.79571,     3497.394, 1271009682.00, -15.4027388742,  -0.1309609632,   0.2948097039,     1.461,    52.056,    -0.263
